customer_id,acquisition_date,acquisition_channel,acquisition_campaign,country,age_group,plan_tier
C001,2023-01-05,email,winter_sale,US,25-34,premium
C002,2023-01-08,paid_social,winter_sale,US,35-44,basic
C003,2023-01-12,organic,none,CA,18-24,basic
C004,2023-01-15,email,winter_sale,US,45-54,premium
C005,2023-01-20,referral,none,US,25-34,premium
C006,2023-02-01,paid_social,feb_promo,US,35-44,basic
C007,2023-02-05,organic,none,UK,18-24,basic
C008,2023-02-10,email,feb_promo,US,25-34,premium
C009,2023-02-14,referral,none,CA,35-44,premium
C010,2023-02-20,paid_social,feb_promo,US,25-34,basic
C011,2023-03-01,email,spring_launch,US,45-54,premium
C012,2023-03-05,organic,none,US,25-34,basic
C013,2023-03-10,paid_social,spring_launch,CA,18-24,basic
C014,2023-03-15,email,spring_launch,US,35-44,premium
C015,2023-03-20,referral,none,US,25-34,premium
C016,2023-04-01,paid_social,q2_push,US,35-44,basic
C017,2023-04-05,email,q2_push,US,25-34,premium
C018,2023-04-10,organic,none,UK,45-54,basic
C019,2023-04-15,referral,none,US,18-24,premium
C020,2023-04-20,email,q2_push,CA,35-44,premium
