transaction_id,customer_id,transaction_date,amount,product_category,is_refund
T001,C001,2023-01-10,49.99,subscription,false
T002,C001,2023-02-10,49.99,subscription,false
T003,C001,2023-03-10,49.99,subscription,false
T004,C002,2023-01-15,19.99,subscription,false
T005,C002,2023-02-15,19.99,subscription,false
T006,C003,2023-01-20,19.99,subscription,false
T007,C004,2023-01-20,49.99,subscription,false
T008,C004,2023-02-20,49.99,subscription,false
T009,C004,2023-03-20,49.99,subscription,false
T010,C004,2023-04-20,49.99,subscription,false
T011,C005,2023-01-25,49.99,subscription,false
T012,C005,2023-02-25,49.99,subscription,false
T013,C005,2023-03-25,49.99,subscription,false
T014,C006,2023-02-05,19.99,subscription,false
T015,C007,2023-02-12,19.99,subscription,false
T016,C008,2023-02-15,49.99,subscription,false
T017,C008,2023-03-15,49.99,subscription,false
T018,C009,2023-02-20,49.99,subscription,false
T019,C009,2023-03-20,49.99,subscription,false
T020,C010,2023-02-25,19.99,subscription,false
T021,C011,2023-03-05,49.99,subscription,false
T022,C011,2023-04-05,49.99,subscription,false
T023,C012,2023-03-10,19.99,subscription,false
T024,C013,2023-03-15,19.99,subscription,false
T025,C014,2023-03-20,49.99,subscription,false
T026,C014,2023-04-20,49.99,subscription,false
T027,C015,2023-03-25,49.99,subscription,false
T028,C016,2023-04-05,19.99,subscription,false
T029,C017,2023-04-10,49.99,subscription,false
T030,C018,2023-04-15,19.99,subscription,false
